status_id,created_at,user_id,screen_name,text,source,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,retweet_status_id,retweet_text,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords
x972642304455520257,3/11/2018 1:16,x833054275836211201,JC20204,"@realDonaldTrump @IvankaTrump @DonaldJTrumpJr @FLOTUS @USAGSessions
  @DoJ @FBI 
   
  #resist #resistance #theresistance #democrats #bluewave #guncontrol #gunviolence #commonsenseguncontrol #guncontrolnow #gunban
  #NRA #nrabloodmoney #banassaultweap",Twitter Web Client,,x25073877,realDonaldTrump,TRUE,FALSE,0,0,resist resistance theresistance democrats bluewave guncontrol gunviolence commonsenseguncontrol guncontrolnow gunban NRA nrabloodmoney banassaultweapons,,twitter.com/JC20204/status?€?,https://t.co/AXM2pu22dV,https://twitter.com/JC20204/status/972642178509033474,,,,,,,,,x25073877 52544275 39344374 818876014390603776 799641010699718656 34372586 17629860,realDonaldTrump IvankaTrump DonaldJTrumpJr FLOTUS USAGSessions doj FBI,und,x972642178509033474,"This just in: @realDonaldTrump is having the time of his life - - good show

Dems have to be drunk and stoned by now - - - 

this should make for good Sun Morn Msm work for their money huh? https://t.co/CVj9Et58Tr",,,,,,,,,,,
x972641972707053568,3/11/2018 1:14,x297795505,Rhonda9080,#GunControl #NoGunControl #armedteachers #MarchForOurLives #SaturdayFeeling https://t.co/P1kcvEhhQA,Twitter for Android,,,,TRUE,FALSE,0,0,GunControl NoGunControl armedteachers MarchForOurLives SaturdayFeeling,,twitter.com/lwintn/status/?€?,https://t.co/P1kcvEhhQA,https://twitter.com/lwintn/status/971388374165712896,,,,,,,,,,,und,x971388374165712896,"Teachers should be trained and armed with guns, if they choose to be. https://t.co/sbvIFcs1n2 @DailySignal",,,,,,,,,,,
x972640598334124033,3/11/2018 1:09,x4434659660,VanCityRelly,"@j3mike @AmandaMarcotte You realize the vast majority of Republicans do not believe basic healthcare is a right all Americans deserve, right? That includes mental health. So that argument doesn't even work.

#GunControl is needed either way because not ",Twitter for Android,x972580644189626368,x738172558516723713,j3mike,FALSE,FALSE,8,1,GunControl GunSense,,,,,,,,,,,,,x738172558516723713 928481,j3mike AmandaMarcotte,en,,,,,,,,,,,,,
x972639970815979520,3/11/2018 1:06,x1392996848,JibbJabberish,"#DonTheCon is the most disgraceful human on the planet and 60 million idiots voted for him

You all are shameful by association

#GunControl
#SchoolShooting
#tariffs
#StormyDaniels
#ImpeachTrump
#MuellerIsComing
#MuellerInvestigation
#Midterms2018
#BlueWave2018 https://t.co/5aMHV7GPUW",Twitter Lite,,,,TRUE,FALSE,1,0,DonTheCon GunControl SchoolShooting tariffs StormyDaniels ImpeachTrump MuellerIsComing MuellerInvestigation Midterms2018 BlueWave2018,,twitter.com/UnofficiallyNF?€?,https://t.co/5aMHV7GPUW,https://twitter.com/UnofficiallyNFL/status/972375315904282625,,,,,,,,,,,en,x972375315904282625,"#MichaelCohen, Trump attorney, takes out mortgage to silence #StormyDaniels, a porn star, protecting President of U.S. who cheated on his pregnant trophy wife

Word Origin, French
Mort(death)
Gage(debt owed till)

Michael Cohen took out ""debt owed till death"" to bribe hooker(s) https://t.co/CtU0FKSpdf",,,,,,,,,,,
x972639564350201856,3/11/2018 1:05,x18777241,diamondave,The #NRA show it's #trueblood #colors:.@NRA files lawsuit over #Florida #guncontrol #law https://t.co/EZFi7iov0n,Twitter Web Client,,,,FALSE,FALSE,0,0,NRA trueblood colors Florida guncontrol law,,a.msn.com/01/en-us/BBK47?€?,https://t.co/EZFi7iov0n,http://a.msn.com/01/en-us/BBK47r3?ocid=st,,,,,,,,,x21829541,NRA,en,,,,,,,,,,,,,
x972639209407131648,3/11/2018 1:03,x1392996848,JibbJabberish,"Is this what #DonTheCon means by ""leading""

#GunControl
#SchoolShooting
#tariffs
#StormyDaniels
#ImpeachTrump
#MuellerIsComing
#MuellerInvestigation
#Midterms2018
#BlueWave2018 https://t.co/xM6zYrXz3W",Twitter Lite,,,,TRUE,FALSE,1,0,DonTheCon GunControl SchoolShooting tariffs StormyDaniels ImpeachTrump MuellerIsComing MuellerInvestigation Midterms2018 BlueWave2018,,twitter.com/UnofficiallyNF?€?,https://t.co/xM6zYrXz3W,https://twitter.com/UnofficiallyNFL/status/972378423992598529,,,,,,,,,,,en,x972378423992598529,"Every President needs some exercise, so does Trump https://t.co/7VnT08hmq1",,,,,,,,,,,
x972639159872557056,3/11/2018 1:03,x833054275836211201,JC20204,"@realDonaldTrump @IvankaTrump @DonaldJTrumpJr @FLOTUS @USAGSessions
  @DoJ @FBI 
   
  #resist #resistance #theresistance #democrats #bluewave #guncontrol #gunviolence #commonsenseguncontrol #guncontrolnow #gunban
  #NRA #nrabloodmoney #banassaultweap",Twitter Web Client,,x25073877,realDonaldTrump,TRUE,FALSE,0,0,resist resistance theresistance democrats bluewave guncontrol gunviolence commonsenseguncontrol guncontrolnow gunban NRA nrabloodmoney banassaultweapons,,twitter.com/djf510/status/?€?,https://t.co/SnwZWB8Qoq,https://twitter.com/djf510/status/972350607624429568,,,,,,,,,x25073877 52544275 39344374 818876014390603776 799641010699718656 34372586 17629860,realDonaldTrump IvankaTrump DonaldJTrumpJr FLOTUS USAGSessions doj FBI,und,x972350607624429568,Slithering snakes. All of em. https://t.co/FJDnJotJ32,,,,,,,,,,,
x972639016913948672,3/11/2018 1:03,x833054275836211201,JC20204,"@realDonaldTrump @IvankaTrump @DonaldJTrumpJr @FLOTUS @USAGSessions
  @DoJ @FBI 
   
  #resist #resistance #theresistance #democrats #bluewave #guncontrol #gunviolence #commonsenseguncontrol #guncontrolnow #gunban
  #NRA #nrabloodmoney #banassaultweap",Twitter Web Client,,x25073877,realDonaldTrump,TRUE,FALSE,1,0,resist resistance theresistance democrats bluewave guncontrol gunviolence commonsenseguncontrol guncontrolnow gunban NRA nrabloodmoney banassaultweapons,,twitter.com/DemsFinished/s?€?,https://t.co/ur5jM75Lwg,https://twitter.com/DemsFinished/status/972338576653541376,,,,,,,,,x25073877 52544275 39344374 818876014390603776 799641010699718656 34372586 17629860,realDonaldTrump IvankaTrump DonaldJTrumpJr FLOTUS USAGSessions doj FBI,und,x972338576653541376,https://t.co/2jcScbdlTe,,,,,,,,,,,
x972638914065420289,3/11/2018 1:02,x17717586,ariane321,The second amendment is not a commandment @billmaher @Emma4Change @brklynbes #GunReform #GunControl #ParklandStudents #ParklandStrong,Twitter for iPhone,,,,FALSE,FALSE,1,0,GunReform GunControl ParklandStudents ParklandStrong,,,,,,,,,,,,,x19697415 965266179836252161 478148601,billmaher Emma4Change brklynbes,en,,,,,https://api.twitter.com/1.1/geo/id/011add077f4d2da3.json,Brooklyn,"Brooklyn, NY",city,United States,US,,,-74.041878 -73.855673 -73.855673 -74.041878 40.570842 40.570842 40.739434 40.739434
x972638875612008448,3/11/2018 1:02,x833054275836211201,JC20204,"@realDonaldTrump @IvankaTrump @DonaldJTrumpJr @FLOTUS @USAGSessions
  @DoJ @FBI 
   
  #resist #resistance #theresistance #democrats #bluewave #guncontrol #gunviolence #commonsenseguncontrol #guncontrolnow #gunban
  #NRA #nrabloodmoney #banassaultweap",Twitter Web Client,,x25073877,realDonaldTrump,TRUE,FALSE,2,2,resist resistance theresistance democrats bluewave guncontrol gunviolence commonsenseguncontrol guncontrolnow gunban NRA nrabloodmoney banassaultweapons,,twitter.com/djf510/status/?€?,https://t.co/hYF0VFtoP6,https://twitter.com/djf510/status/972533360856723456,,,,,,,,,x25073877 52544275 39344374 818876014390603776 799641010699718656 34372586 17629860,realDonaldTrump IvankaTrump DonaldJTrumpJr FLOTUS USAGSessions doj FBI,und,x972533360856723456,Take out all the trash. One big load. https://t.co/WLEZBgB5Hg,,,,,,,,,,,
