"c1","c2","text"
"1340310878","3/10/2018 ","The ?? argument that   measures infringe on the 14th amendment's equal protection clause by banning law-abiding citizens between 18-21 from buying guns has got to be one of the most preposterous ones ever."
"1379645311","3/10/2018 ","4/ the politics of the day."
"1394743334","3/10/2018 ","US vs World"
"140257599","3/10/2018 ","From  policy debate to  funding. From  to . How  has moved the  into the realm of mainstream public dialog -"
"14112406","3/10/2018 ","That said, don't rest on laurels. The NRA was pushing for this to be done via executive order so it could be easily undone later. Be wary. Be strategic."
"1412064840","3/10/2018 ","Hitler Survivor Condemns Gun Control ""KEEP YOUR GUNS, BUY MORE GUNS"" Katie Worthman"
"141994504","3/10/2018 ","The  are such a bunch of arseholes!!    Florida shooting: NRA sues as Florida enacts gun-control law -"
"1450133682","3/10/2018 ","_kasky Keep tweeting and talking. You and your friends are going to take the worst thing that ever happened to you and make great change in this country. More are proud of you than you know"
"145426326","3/10/2018 ","I don??t fuck with  till it becomes about all the men women and children suffering from rape, racism, murder and war crimes everywhere. I don??t fuck with  till it becomes about illegalization of guns and international arms distribution"
"1455431","3/10/2018 ","Thank you  for sharing your inspiring story at  - you inspired so many on the topics of   and"
"14720577","3/10/2018 ","Watching  on  talking about  We MUST have more PA electeds pledging to accept  - where are you?"
"147634420","3/10/2018 ","You didn't ask for this  but    we don't need semi-automatic, easily convertible to automatic, weaponry on the market. Lessen the effort to defend The Beatles - Revolutionvia"
"14862668","3/10/2018 ","UNREAL. As long as the  issue is WRONGLY FRAMED as Anti-gun vs. Pro-gun rather than Sensible/Responsible vs. Anything Is Permissible, the NRA will cow politicians into disgusting inaction."
"14957318","3/10/2018 ","Chicago-area students plan to participate in  walkout next week"
"15151163","3/10/2018 ","Correction:  began as a mean to keep the  helpless. Nothing good ever followed the ones who wish you disarmed."
"15379745","3/10/2018 ","Would the left blame the gun of Trump was assisinated? Answer: Hell to the NO!"
"154486524","3/10/2018 ","Is it time now to talk about  ?"
"154977758","3/10/2018 ","Couldn't have said it better myself"
"1561978184","3/10/2018 ","I was unlawfully blocked by my reps (Travis Hutson & Cyndi Stevenson) because of my opinions on . This needs to stop.  filed suit about a week ago."
"15736424","3/10/2018 "," This:  is nonsense  is tyranny"", ""You cannot have the Right to Life, Liberty, & Pursuit of happiness, without the Right to defend them with the Right to keep and bear arms.  is nonsense  is tyranny"")"
"158023332","3/10/2018 ","The constitution says ??WELL REGULATED?? !!!!!!"
"1592293723","3/10/2018 ","Bullies become nothing when they are called out to stand alone. So don't resign. Whine. placate. Step away. Be courageous. Make the Bully stand out and responsible for his actions."
"1592448187","3/10/2018 ","Oh this is just brilliant!"
"1606029594","3/10/2018 ","With all these people destroying  now I want to destroy something. So I decided I'm going to destroy the leftest wingnut,    agenda. Who's with me?"
"16139945","3/10/2018 ","Adults make the laws, children are just expected to die for them."
"16155881","3/10/2018 ","Morning Consult Poll: Consumers Inflict Major PR Damage on corporations who cut ties with the"
"16177626","3/10/2018 ","Yep. This is TRUE diplomacy. Not a shot was fired. ."
"16189745","3/10/2018 ","_     !"
"1623227862","3/10/2018 ","There??s a reason why there??s a age limit of 18... now there??s reasons why 21 should be the age limit."
"16290017","3/10/2018 ",". director Daniel Flannery joins  discussion on : ??The more guns that are available to people, the more likely they are to be used.??"
"163267200","3/10/2018 ","supporting the game changers! Thank you!!"
"166367211","3/10/2018 ","Can we stop focusing on the president's lack of morals? We know about it. GOP doesn't care, won't pursue any legal action even if the payoff is clear crime. Focus on"
"1668109656","3/10/2018 ","A BOOMERS ??extra?? (c) stevenn beck, here??s \""SUPER STAR?? * PLS LIKE +SHARE AND FOLLOW ON FB, INSTAGRAM + TWITTER!             "", ""BOOMERS??about the generation that was gong to \""change the world\"" - and INSTEAD gave us DONALD TRUMP! CHECK OUT BOOMERS and PLS \""SPREAD THE WORD!\""           "", 
""A BOOMERS ??extra?? (c) stevenn beck, here??s \""SOMETHING STUPID?? * PLS LIKE +SHARE AND FOLLOW ON FB, INSTAGRAM + TWITTER!             "", ""A BOOMERS extra (c)stevenn beck, here??s \""MY GENERATION?? * PLS LIKE +SHARE AND FOLLOW ON FB, INSTAGRAM + TWITTER!             "", 
""A BOOMERS extra (c)stevenn beck, here??s \""SOMETHING STUPID?? * PLS LIKE +SHARE AND FOLLOW ON FB, INSTAGRAM + TWITTER!             "", ""BOOMERS??about the generation that was gong to \""change the world\"" - and INSTEAD gave us DONALD TRUMP! CHECK OUT BOOMERS and PLS \""SPREAD THE WORD!\""           ""
)"
"16898300","3/10/2018 ","When will liberals realize that gun control only keeps guns out of the hands of the law-abiding citizens: "", ""  "", ""Despite Democrats?? opposition, the bill passed 71-42 in the Republican controlled chamber, following the state Senate??s passing of the legislation Tuesday. The bill has been sent to the desk of Republican Gov. Rick Scott. "")"
"16901710","3/10/2018 ","Guns Explained With Cats ."
"169263290","3/10/2018 ","laws are based on  right? From the Virginia Slave Codes to Black Codes to Jim Crow laws to California Republican Gov. Ronald Reagan vs. the Black Panther Party. Don't feed fellow minorities disinformation."
"17007478","3/10/2018 ","The Justice Department??s regulation would classify bump stocks as a machine gun banned under federal law."
"17295191","3/10/2018 ","They're coming for our video games!"
"174683948","3/10/2018 ","Some common sense to come out the senseless shooting in Parkland, FL."
"17547817","3/10/2018 ","So now we arm all kiosk keepers in the malls. All clerks in the stores."
"176789774","3/10/2018 ","You guts are our ! Thanks for lending your voice to this vital discussion over"
"17717593","3/10/2018 ","Could a  Be the Next President? On issues from  to   to  California has established itself as a pole of the  resistance to ! via"
"18534045","3/10/2018 ","A Woman??s Place??Not all women are mothers; but, all mothers are women..."
"186263601","3/10/2018 ","DO SOMETHING!"
"18731886","3/10/2018 ","People who react to  legislation by shrieking about their ""right"" to own an AR-15 (nope, not covered by the 2nd Amendment, guys) always make me think of this."
"188760974","3/10/2018 ",":  Calls 's New  Law Unacceptable                 "", "":  Are About Keeping Whyte Men On Top ...Or Something              "", "":  Investigating If  Committed A  By Turning An  Into A  Without An  Stamp          "", 
"":  Investigating If  Committed A  By Turning An  Into A  Without An  Stamp          "", "": The  Files  Over 's New Unacceptable  Law                "", "": The  Calls 's New  Law Unacceptable                ""
)"
"188855808","3/10/2018 "," Tell   McConnell, and  to OPPOSE  and SUPPORT !"", "" Tell   McConnell, and  to OPPOSE  and SUPPORT !"", "" Tell   McConnell, and  to OPPOSE  and SUPPORT !"")"
"1918524174","3/10/2018 ","WATCH &  this adorable & poignant animated video by  that brilliantly explains the  debate using ! -via    ??"
"1923381960","3/10/2018 ","this is why the left has been trying so hard to disarm us! The don't just want . They want total control."
"194105096","3/10/2018 ","Bill to legalize CBD oil in Indiana suddenly transformed into gun bill insteadvia"
"195271137","3/10/2018 ","If our rifle wielding dude applied this kind of determination to the legit work world, he??d be rich:"
"195499525","3/10/2018 ","Can't begin to tell you how glad I am that my 16 y/o son, his counselor and I DON'T have to have this conversation."
"19737700","3/10/2018 ","Want to see the Weekend w/Joe Pags live? Go here."
"19752822","3/10/2018 ","by CR-eate _eate"
"20005332","3/10/2018 ","Shame on you  for suing Florida over their  law. You are proving yourself to be a rogue organization"
"20198802","3/10/2018 ","Thomas Massie warning on"
"205909943","3/10/2018 ","The battle for  gun control laws pits emotion & passion against logic & reason. All too often in such a contest, logic loses. So expect more meaningless, if not harmful,  legislation. Good news if you're a crook - Larry Elder"
"20623400","3/10/2018 ","The low hanging fruit of   , because they can't actually prevent criminals from committing crimes with guns."
"20790645","3/10/2018 ","2013: ""The consent decree secured by _SoCal & the Justice Dept accomplished its purpose by & large. This is no longer your father??s LAPD.""2013-2017: LAPD kills more people than any other police dept in U.S."
"21430087","3/10/2018 ","The only  should be the repeal of all federal  and all State level ."
"21695950","3/10/2018 ","Animator Brilliantly Explains The Gun Control Debate Using Cats - Love this  ??"
"218327748","3/10/2018 ","Applaud them! How scary to be concerned all day if you are a target, that??s not a learning environment that??s a war zone!"
"2193593424","3/10/2018 ","The success of  teenagers speaking out in protest of  has lead to  laws passed in . Let their voices galvanize others to speak out!"
"2205007646","3/10/2018 ","The universal joy of children at play. They should always be dodging waves; not bullets. Stricter  laws. ( )"
"222528141","3/10/2018 ","Let me get this straight  You want me to accept the wisdom of an 18 year old on  yet you don't think that 18 year old is wise enough to own a gun?"
"2227799814","3/10/2018 ","US Department of Justice introduces proposal to ban"
"224351791","3/10/2018 ","Rep. Massie Warns Gun Control Measure Is Hidden in New Bill."
"224787540","3/10/2018 ","Yes, but like  is to some Republicans, not everyone agrees. It's called a democracy - you know - where the majority wins. (With a few exceptions, like the electoral college.)"
"2256692846","3/10/2018 ","It??s called rolling over.  does it all the time. How??s that wall coming along? Didn??t you see trump sway back and forth on  ? Trumps a kook and has no place in politics."
"22583725","3/10/2018 ","We need to DROP the term and word  - it strikes fear in every gun owner and this is how the NRA propaganda machine wins . Media needs to stop using that phrase too . It??s  - question their sa"
"22676478","3/10/2018 "," Not with you at the helm cause you screw everything up!      Oceans      "", ""California officer dead, another wounded as standoff continues - CNN. Another GUN tragedy! Now the killing continues bc the  SUCK. Get guns out of schools & off our streets.  RIP & my deepest condolences to the families."")"
"23153001","3/10/2018 ",". sorry, but  &  ARE the  problem, by refusing to properly report people who r federally banned from owning firearms it makes background check system useless!! How many more  gun crimes does  need to have??"
"2344911886","3/10/2018 ","NRA sues Florida to block new gun-control laws - only in the USA"
"23529546","3/10/2018 ","sues State of  over new  law."
"238902108","3/10/2018 ","   You sound like a reasonable person trying to have a real conversation on . All of us need to be careful using broad generalizations and putting words in other people??s mouths."", ""    Here you go again. Name calling, insults, etc. You really are trying to have a discussion that might make actual progress on . (Sarcasm) You will now be muted."", ""     Simple answer: yes, I am in favor of expanded federal  in America. You don??t actually know a whole lot about the conflicts I provided examples to, do you? You should pay more attenti"", 
""     And I??ve been challenging extremists and name callers from both sides of the  debate to better understand where we are all coming from. We can then legislate where we find common grou"")"
"2419056742","3/10/2018 ","Lost in the scandal of porn star news... 3 women who dedicated their lives to help others will never go home to their families."
"2486797206","3/10/2018 ","Women sexually harass men/women in the workplace just as men, yet no't tried controlling marijuana in the 60's.. it tripled, then tried controlling cocaine/heroin and HELLO, that didn't work, it quadrupled....so how in God's name will they succeed in"
"24993788","3/10/2018 ","Spend 10 weeks training with the AMERICAN LIBRARY ASSOCIATION  for"
"25080063","3/10/2018 ","Amazing. Once seriously questioned whether Scott was human ;-)"
"25086168","3/10/2018 ",". signs bill,  files suit.    "", ""??We are not as divisive as the media portrays America to be,\""  says.    "")"
"252014946","3/10/2018 ","Free Concealed carry classes offered to teachers in Arizona."
"252794509","3/10/2018 ","Broken Hearts and Opened Eyes: The pervasiveness of gun violence in the U.S. via"
"2570403269","3/10/2018 ","thinks ??the focus on the NRA is overblown and misguided.?? Even though  is the only force standing in the way of meaningful . How much $ did he get from them again?"
"2573615648","3/10/2018 ","it??s funny how the example given below weapon is ??nuclear weapon?? and everyone is still saying that guns aren??t the problem. nuclear weapons were the problem, guns are the problem."
"25793239","3/10/2018 ","I??m all for 2nd amendment removal. Please, government, cops, military & hunting manufacturers, lead the way so we all can follow. It starts at the top, or it??s a trap."
"2592062510","3/10/2018 ","Justice Department proposes banning rapid-fire bump stocksAbout Damn Time"
"259417794","3/10/2018 ","student??s response to  ??s spiteful and distorting video to promote her  show.   _Deitsch"
"26383854","3/10/2018 ","California teacher of the year   talks  in a new PSA. Why he's saying"
"263974138","3/10/2018 ","Rallies don't work anymore. They need to strike. And stay out till their demands are met."
